sr,Make,Model,Variant,Ex-Showroom_Price,Fuel_Tank_Capacity,Fuel_Type,Body_Type,ARAI_Certified_Mileage,Gears,Power,Seating_Capacity,Type,Number_of_Airbags
1,Renault,Kwid,Rxt 1.0,"Rs. 4,33,290",28 litres,Petrol,Hatchback,23.01 km/litre,5,68PS@5500rpm,5,Manual,1
2,Renault,Kwid,Climber 1.0 Mt,"Rs. 4,54,490",28 litres,Petrol,Hatchback,23.01 km/litre,5,68PS@5500rpm,5,Manual,1
3,Renault,Kwid,Rxt (O) 1.0,"Rs. 4,40,990",28 litres,Petrol,Hatchback,23.01 km/litre,5,68PS@5500rpm,5,Manual,2
4,Renault,Kwid,Rxt (O) Amt 1.0,"Rs. 4,70,990",28 litres,Petrol,Hatchback,23.01 km/litre,5,68PS@5500rpm,5,Automatic,2
5,Renault,Kwid,Climber (O) Mt 1.0,"Rs. 4,62,190",28 litres,Petrol,Hatchback,23.01 km/litre,5,68PS@5500rpm,5,Manual,2
6,Datsun,Go,D,"Rs. 3,74,990",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
7,Datsun,Go,T,"Rs. 4,68,229",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
8,Datsun,Go,T (O),"Rs. 5,02,492",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
9,Datsun,Go,A (O),"Rs. 4,99,990",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
10,Datsun,Go,A,"Rs. 4,69,990",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
11,Datsun,Go,T Vdc,"Rs. 5,28,464",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
12,Datsun,Go,T (O) Vdc,"Rs. 5,53,015",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
13,Datsun,Go,T Cvt,"Rs. 5,94,464",35 litres,Petrol,Hatchback,20.1 km/litre,5,78PS@5000rpm,5,Manual,2
14,Datsun,Go,T (O) Cvt,"Rs. 6,18,015",35 litres,Petrol,Hatchback,20.1 km/litre,5,78PS@5000rpm,5,Manual,2
15,Tata,Tiago,Revotron Xt,"Rs. 5,20,000",35 litres,Petrol,Hatchback,23 km/litre,5,86PS@6000rpm,5,Manual,2
16,Tata,Tiago,Revotron Xz,"Rs. 5,70,000",35 litres,Petrol,Hatchback,23 km/litre,5,86PS@6000rpm,5,Manual,2
17,Tata,Tiago,Revotron Xz Plus,"Rs. 5,99,000",35 litres,Petrol,Hatchback,23 km/litre,5,86PS@6000rpm,5,Manual,2
18,Tata,Tiago,Revotron Xz Plus Dual Tone,"Rs. 6,10,000",35 litres,Petrol,Hatchback,23 km/litre,5,86PS@6000rpm,5,Manual,2
19,Toyota,Etios Liva,Vx,"Rs. 6,30,000",45 litres,Petrol,Hatchback,18.16 km/litre,5,80PS@5600rpm,5,Manual,2
20,Toyota,Etios Liva,Vxd,"Rs. 7,45,000",45 litres,Diesel,Hatchback,23.59 km/litre,5,68PS@3800rpm,5,Manual,2
21,Toyota,Etios Liva,Dual Tone Vx,"Rs. 6,41,700",45 litres,Petrol,Hatchback,18.16 km/litre,5,80PS@5600rpm,5,Manual,2
22,Toyota,Etios Liva,Dual Tone Vxd,"Rs. 7,56,700",45 litres,Diesel,Hatchback,23.59 km/litre,5,68PS@3800rpm,5,Manual,2
23,Toyota,Etios Liva,Vx Dual Tone Limited Edition,"Rs. 6,62,700",45 litres,Petrol,Hatchback,18.16 km/litre,5,80PS@5600rpm,5,Manual,2
24,Toyota,Etios Liva,Vxd Dual Tone Limited Edition,"Rs. 7,77,700",45 litres,Diesel,Hatchback,23.59 km/litre,5,68PS@3800rpm,5,Manual,2
25,Nissan,Micra Active,Xl,"Rs. 5,25,021",41 litres,Petrol,Hatchback,18.97 km/litre,5,68PS@5000rpm,5,Manual,2
26,Nissan,Micra Active,Xv,"Rs. 5,99,950",41 litres,Petrol,Hatchback,19.49 km/litre,5,68PS@5000rpm,5,Manual,2
27,Nissan,Micra Active,Xl (O),"Rs. 5,63,133",41 litres,Petrol,Hatchback,18.97 km/litre,5,68PS@5000rpm,5,Manual,2
28,Hyundai,Elite I20,Magna Plus,"Rs. 6,34,950",45 litres,Petrol,Hatchback,18.6 km/litre,5,84PS@6000rpm,5,Manual,2
29,Hyundai,Elite I20,Magna Plus Crdi,"Rs. 7,70,803",45 litres,Diesel,Hatchback,22.54 km/litre,6,90PS@4000rpm,5,Manual,2
30,Hyundai,Elite I20,Sportz Plus,"Rs. 7,21,693",45 litres,Petrol,Hatchback,18.6 km/litre,5,84PS@6000rpm,5,Manual,2
31,Hyundai,Elite I20,Sportz Plus Crdi Dual Tone,"Rs. 8,76,103",45 litres,Diesel,Hatchback,22.54 km/litre,6,90PS@4000rpm,5,Manual,2
32,Hyundai,Elite I20,Asta (O) 1.2,"Rs. 8,08,993",45 litres,Petrol,Hatchback,18.15 km/litre,5,84PS@6000rpm,5,Manual,6
33,Hyundai,Elite I20,Asta (O) Crdi,"Rs. 9,34,003",45 litres,Diesel,Hatchback,22.54 km/litre,6,90PS@4000rpm,5,Manual,6
34,Hyundai,Elite I20,Asta (O) Cvt,"Rs. 9,20,993",45 litres,Petrol,Hatchback,18.6 km/litre,5,83PS@6000rpm,5,Automatic,2
35,Hyundai,Elite I20,Sportz Plus Dual Tone,"Rs. 7,51,693",45 litres,Petrol,Hatchback,18.6 km/litre,5,84PS@6000rpm,5,Manual,2
36,Hyundai,Elite I20,Sportz Plus Cvt,"Rs. 8,31,693",45 litres,Petrol,Hatchback,18.6 km/litre,5,84PS@6000rpm,5,Manual,2
37,Hyundai,Elite I20,Sportz Plus Crdi,"Rs. 8,46,103",45 litres,Diesel,Hatchback,22.54 km/litre,6,90PS@4000rpm,5,Manual,2
38,Volkswagen,Polo,Highline Plus 1.0 (P),"Rs. 7,76,500",45 litres,Petrol,Hatchback,18.78 km/litre,5,76PS@6200RPM,5,Manual,2
